Query_number,Document_ID,Cluster_ID,Similarity
1,output_247327.txt,539,0.38693592
1,output_164516.txt,247,0.36895227
1,output_324242.txt,631,0.36580092
1,output_225127.txt,631,0.36409193
1,output_364125.txt,631,0.36355853
1,output_221245.txt,631,0.36288378
1,output_127555.txt,631,0.35911357
1,output_63873.txt,631,0.35911357
1,output_62498.txt,631,0.35905993
1,output_115632.txt,631,0.35663956
2,output_487973.txt,489,0.43308437
2,output_253545.txt,189,0.4300949
2,output_143455.txt,127,0.38609678
2,output_446932.txt,189,0.3846656
2,output_428907.txt,189,0.3811678
2,output_446730.txt,489,0.37956333
2,output_123673.txt,411,0.37853718
2,output_200484.txt,489,0.36972624
2,output_397911.txt,189,0.36744496
2,output_431746.txt,489,0.3579601
3,output_163575.txt,466,0.61297107
3,output_446120.txt,466,0.60397387
3,output_412243.txt,600,0.5613153
3,output_204652.txt,466,0.546242
3,output_322194.txt,466,0.5279249
3,output_341983.txt,466,0.5273465
3,output_329157.txt,466,0.5231352
3,output_447994.txt,466,0.5231352
3,output_63153.txt,466,0.5220746
3,output_184480.txt,466,0.51944053
4,output_215320.txt,515,0.5262861
4,output_114946.txt,554,0.44544116
4,output_188739.txt,554,0.4366256
4,output_316737.txt,554,0.42642957
4,output_99716.txt,99,0.4076378
4,output_110527.txt,99,0.40151685
4,output_159262.txt,99,0.4009417
4,output_155080.txt,99,0.40057597
4,output_43104.txt,554,0.3990121
4,output_183234.txt,13,0.39739537
5,output_336372.txt,622,0.5869896
5,output_266494.txt,334,0.57505953
5,output_171495.txt,334,0.54513353
5,output_189798.txt,608,0.54486483
5,output_173278.txt,383,0.54141253
5,output_112942.txt,383,0.530795
5,output_237579.txt,383,0.5296916
5,output_213425.txt,383,0.5179142
5,output_228997.txt,334,0.51707226
5,output_457073.txt,383,0.5148418
6,output_294577.txt,649,0.5903017
6,output_275883.txt,19,0.5278346
6,output_80228.txt,19,0.52161515
6,output_73557.txt,649,0.51634824
6,output_85102.txt,649,0.515632
6,output_418531.txt,19,0.51233655
6,output_51271.txt,649,0.5023569
6,output_394539.txt,19,0.49237034
6,output_231866.txt,649,0.48497993
6,output_342088.txt,649,0.4838601
7,output_494634.txt,627,0.5534842
7,output_137842.txt,627,0.5491405
7,output_444818.txt,627,0.54009485
7,output_453178.txt,627,0.53948057
7,output_40207.txt,627,0.53546464
7,output_108290.txt,627,0.5309012
7,output_230491.txt,380,0.5226872
7,output_82172.txt,627,0.5196619
7,output_461656.txt,627,0.5114737
7,output_325737.txt,627,0.50869936
8,output_86867.txt,219,0.68056446
8,output_236500.txt,219,0.668383
8,output_401711.txt,219,0.66719824
8,output_14705.txt,219,0.6648147
8,output_109001.txt,219,0.6648147
8,output_297759.txt,219,0.65755844
8,output_95204.txt,219,0.655179
8,output_376945.txt,219,0.643955
8,output_102418.txt,219,0.62668234
8,output_334887.txt,219,0.6239506
9,output_95059.txt,539,0.72215617
9,output_102770.txt,706,0.6634307
9,output_382221.txt,706,0.608716
9,output_165911.txt,539,0.545412
9,output_108018.txt,539,0.53465474
9,output_370662.txt,706,0.5036595
9,output_366086.txt,539,0.48900118
9,output_496531.txt,539,0.48212913
9,output_284336.txt,706,0.4809003
9,output_325571.txt,539,0.47961128
10,output_89072.txt,155,0.58137655
10,output_67533.txt,107,0.56582683
10,output_472683.txt,213,0.52326095
10,output_288183.txt,490,0.49839494
10,output_107176.txt,213,0.49484205
10,output_490691.txt,213,0.4935637
10,output_452972.txt,213,0.48392278
10,output_297761.txt,11,0.4836327
10,output_330801.txt,490,0.472994
10,output_466943.txt,490,0.47061613
11,output_305019.txt,196,0.5190984
11,output_155218.txt,196,0.5151698
11,output_164039.txt,196,0.48073786
11,output_275918.txt,196,0.4720256
11,output_189312.txt,341,0.46958163
11,output_283677.txt,196,0.46454608
11,output_386997.txt,196,0.4644513
11,output_441493.txt,341,0.46388423
11,output_315378.txt,115,0.46312246
11,output_411251.txt,196,0.46241388
12,output_3976.txt,189,0.67195475
12,output_267626.txt,602,0.54554915
12,output_459238.txt,602,0.51785815
12,output_393641.txt,602,0.49308538
12,output_344738.txt,507,0.48857653
12,output_359187.txt,602,0.4877497
12,output_355270.txt,230,0.48247093
12,output_383404.txt,602,0.47726512
12,output_479977.txt,507,0.47087324
12,output_308480.txt,507,0.46917123
13,output_148453.txt,207,0.5979884
13,output_79603.txt,207,0.593961
13,output_481938.txt,207,0.54821396
13,output_164486.txt,207,0.5159106
13,output_287137.txt,683,0.4588756
13,output_163563.txt,207,0.45726544
13,output_184607.txt,496,0.4390198
13,output_408074.txt,683,0.38369676
13,output_344194.txt,683,0.36565572
13,output_85683.txt,683,0.36008975
14,output_423544.txt,501,0.5863753
14,output_463695.txt,209,0.5203863
14,output_482219.txt,623,0.51514566
14,output_420475.txt,209,0.39548707
14,output_210086.txt,330,0.39428902
14,output_273094.txt,209,0.3923483
14,output_51184.txt,434,0.38599777
14,output_359631.txt,209,0.3832581
14,output_71200.txt,330,0.3764159
14,output_212304.txt,207,0.3731736
15,output_442250.txt,593,0.5084359
15,output_486918.txt,342,0.4918904
15,output_284662.txt,593,0.47459456
15,output_184067.txt,593,0.4531461
15,output_381470.txt,593,0.43912244
15,output_204058.txt,48,0.42578006
15,output_493347.txt,59,0.4255064
15,output_448280.txt,48,0.42495835
15,output_141260.txt,593,0.42431572
15,output_408470.txt,399,0.4226482
16,output_453910.txt,657,0.498685
16,output_485510.txt,657,0.4892076
16,output_228341.txt,657,0.48028907
16,output_458244.txt,657,0.47649407
16,output_275889.txt,657,0.4705549
16,output_67102.txt,657,0.46452808
16,output_8717.txt,657,0.46376467
16,output_532.txt,657,0.45668942
16,output_460649.txt,657,0.45635116
16,output_358528.txt,287,0.45368898
17,output_473427.txt,70,0.44101274
17,output_347962.txt,70,0.41310406
17,output_286389.txt,70,0.41201812
17,output_64838.txt,70,0.4066832
17,output_53989.txt,70,0.38784635
17,output_419231.txt,65,0.38602263
17,output_68576.txt,70,0.38134325
17,output_480307.txt,70,0.38001776
17,output_168932.txt,70,0.37927508
17,output_361737.txt,560,0.37385362
18,output_179059.txt,21,0.7112442
18,output_426872.txt,591,0.69434714
18,output_13449.txt,495,0.624866
